Interannual variation of monthly mean sea level and the 5-month centered average.
The values are in meters.  The average seasonal cycle and the relative sea level trend have been removed.
Column values are the Year; Month; Interannual Variation; and the 5-month centered average of the Interannual Variation.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Interannual_Variation, Five_Month_Average
1971,7,0.016,
1971,8,-0.019,
1971,10,0.150,
1971,11,0.123,
1971,12,0.052,
1972,2,0.054,
1972,3,0.095,
1972,4,0.031,0.078,
1972,5,0.104,0.081,
1972,6,0.108,0.074,
1972,7,0.066,0.077,
1972,8,0.060,
1972,9,0.047,
1983,7,0.006,
1983,8,0.033,
1986,7,-0.027,
1986,8,-0.016,
1986,9,-0.062,-0.033,
1986,10,-0.043,-0.026,
1986,11,-0.015,-0.015,
1986,12,0.009,-0.007,
1987,1,0.038,0.022,
1987,2,-0.025,0.038,
1987,3,0.104,0.022,
1987,4,0.063,0.008,
1987,5,-0.070,0.007,
1987,6,-0.033,-0.016,
1987,7,-0.028,-0.033,
1987,8,-0.012,-0.038,
1987,9,-0.023,
1987,10,-0.096,
1994,7,-0.023,
1994,8,-0.035,
1994,9,-0.079,-0.047,
1994,10,-0.028,-0.035,
1994,11,-0.067,-0.027,
1994,12,0.037,-0.036,
1995,1,0.000,-0.034,
1995,2,-0.123,-0.036,
1995,3,-0.017,-0.042,
1995,4,-0.076,-0.053,
1995,5,0.004,-0.031,
1995,6,-0.053,-0.014,
1995,7,-0.013,-0.003,
1995,8,0.066,-0.003,
1995,9,-0.020,0.005,
1995,10,0.005,-0.007,
1995,11,-0.010,-0.000,
1995,12,-0.075,-0.004,
1996,1,0.100,-0.011,
1996,2,-0.041,-0.005,
1996,3,-0.026,0.008,
1996,4,0.015,-0.010,
1996,5,-0.006,-0.003,
1996,6,0.009,0.004,
1996,7,-0.006,0.026,
1996,8,0.010,0.041,
1996,9,0.124,0.053,
1996,10,0.068,0.087,
1996,11,0.070,0.097,
1996,12,0.162,0.088,
1997,1,0.062,0.089,
1997,2,0.079,0.078,
1997,3,0.071,0.036,
1997,4,0.017,0.034,
1997,5,-0.050,0.015,
1997,6,0.053,0.000,
1997,7,-0.015,-0.011,
1997,8,-0.003,-0.006,
1997,9,-0.038,-0.007,
1997,10,-0.025,0.005,
1997,11,0.047,0.036,
1997,12,0.042,0.096,
1998,1,0.153,0.119,
1998,2,0.265,0.128,
1998,3,0.089,0.139,
1998,4,0.091,0.109,
1998,5,0.099,0.059,
1998,6,0.001,0.045,
1998,7,0.012,0.025,
1998,8,0.023,-0.008,
1998,9,-0.012,-0.013,
1998,10,-0.067,-0.017,
1998,11,-0.021,-0.018,
1998,12,-0.006,0.008,
1999,1,0.014,0.012,
1999,2,0.121,0.020,
1999,3,-0.048,0.022,
1999,4,0.018,0.010,
1999,5,0.005,-0.019,
1999,6,-0.048,-0.011,
1999,7,-0.021,-0.018,
1999,8,-0.011,-0.032,
1999,9,-0.016,-0.034,
1999,10,-0.065,-0.039,
1999,11,-0.056,-0.067,
1999,12,-0.045,-0.081,
2000,1,-0.151,-0.066,
2000,2,-0.088,-0.056,
2000,3,0.013,-0.042,
2000,4,-0.009,-0.022,
2000,5,0.024,-0.002,
2000,6,-0.048,-0.012,
2000,7,0.009,-0.022,
2000,8,-0.037,-0.048,
2000,9,-0.058,-0.040,
2000,10,-0.108,-0.071,
2000,11,-0.004,-0.066,
2000,12,-0.148,-0.067,
2001,1,-0.014,-0.054,
2001,2,-0.061,-0.062,
2001,3,-0.041,-0.036,
2001,4,-0.044,-0.048,
2001,5,-0.018,-0.042,
2001,6,-0.077,-0.042,
2001,7,-0.029,-0.041,
2001,8,-0.043,-0.052,
2001,9,-0.036,-0.044,
2001,10,-0.077,-0.039,
2001,11,-0.035,-0.049,
2001,12,-0.004,-0.037,
2002,1,-0.095,-0.044,
2002,2,0.026,-0.056,
2002,3,-0.115,-0.076,
2002,4,-0.095,-0.065,
2002,5,-0.100,-0.083,
2002,6,-0.041,-0.069,
2002,7,-0.062,-0.058,
2002,8,-0.049,-0.037,
2002,9,-0.038,-0.042,
2002,10,0.005,-0.043,
2002,11,-0.064,-0.052,
2002,12,-0.070,-0.072,
2003,1,-0.092,-0.070,
2003,2,-0.142,-0.057,
2003,3,0.019,-0.042,
2003,4,0.001,-0.030,
2003,5,0.000,-0.009,
2003,6,-0.029,-0.021,
2003,7,-0.036,-0.013,
