Interannual variation of monthly mean sea level and the 5-month centered average.
The values are in meters.  The average seasonal cycle and the relative sea level trend have been removed.
Column values are the Year; Month; Interannual Variation; and the 5-month centered average of the Interannual Variation.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Interannual_Variation, Five_Month_Average
1962,4,0.014,
1962,5,-0.021,
1962,6,-0.018,-0.014,
1962,7,-0.024,-0.023,
1962,8,-0.022,-0.024,
1962,9,-0.028,-0.021,
1962,10,-0.026,-0.013,
1962,11,-0.003,-0.008,
1962,12,0.016,-0.004,
1963,1,0.000,0.000,
1963,2,-0.005,0.003,
1963,3,-0.006,-0.002,
1963,4,0.012,0.001,
1963,5,-0.011,0.009,
1963,6,0.014,0.014,
1963,7,0.038,0.018,
1963,8,0.016,0.026,
1963,9,0.031,0.030,
1963,10,0.033,0.028,
1963,11,0.033,0.037,
1963,12,0.025,0.042,
1964,1,0.062,0.045,
1964,2,0.057,0.051,
1964,3,0.050,0.058,
1964,4,0.064,0.055,
1964,5,0.057,0.065,
1964,6,0.048,0.061,
1964,7,0.108,0.056,
1964,8,0.029,0.054,
1964,9,0.036,0.045,
1964,10,0.048,0.022,
1964,11,0.004,0.011,
1964,12,-0.010,-0.003,
1965,1,-0.026,-0.021,
1965,2,-0.034,-0.023,
1965,3,-0.040,-0.028,
1965,4,-0.006,-0.024,
1965,5,-0.033,-0.021,
1965,6,-0.005,-0.022,
1965,7,-0.022,-0.026,
1965,8,-0.046,-0.021,
1965,9,-0.025,-0.014,
1965,10,-0.009,-0.003,
1965,11,0.029,0.012,
1965,12,0.033,0.023,
1966,1,0.030,0.036,
1966,2,0.031,0.029,
1966,3,0.054,0.024,
1966,4,-0.005,0.022,
1966,5,0.011,0.025,
1966,6,0.016,0.020,
1966,7,0.049,0.013,
1966,8,0.031,0.006,
1966,9,-0.043,0.008,
1966,10,-0.023,-0.002,
1966,11,0.024,-0.007,
1966,12,0.001,0.005,
1967,1,0.007,0.009,
1967,2,0.017,0.001,
1967,3,-0.003,0.000,
1967,4,-0.019,0.000,
1967,5,-0.000,0.003,
