DATE,PRCP,NROWS,MULT
2000,10000.0,366,1.0
2001,11567.0,365,1.1567
2002,6479.0,365,0.5601279502031642
2003,8585.0,365,1.3250501620620465
2004,9074.0,366,1.0569598136284217
2005,8265.0,365,0.9108441701564911
2006,8857.0,365,1.0716273442226256
2007,8004.0,365,0.9036919950321779
2008,7732.0,366,0.9660169915042479
2009,9345.0,365,1.208613554061045
2010,7391.0,365,0.7909042268592831
2011,11909.0,365,1.6112839940468138
2012,7716.0,366,0.6479133428499454
2013,9060.0,365,1.1741835147744946
2014,8018.0,365,0.8849889624724062
2015,9455.0,365,1.1792217510601148
2016,6566.0,366,0.6944473823373877
2017,8912.0,365,1.3572951568687177
2018,7896.0,365,0.8859964093357271
2019,8300.0,365,1.0511651469098278
2020,9102.0,366,1.0966265060240963
2021,7856.0,365,0.8631070094484729
2022,9100.0,365,1.1583503054989817
2023,8995.0,365,0.9884615384615385
