DATE,PRCP,NROWS,MULT
1950,20.0,1,1.0
1951,8689.0,365,434.45
1952,8067.0,366,0.9284152376568074
1953,5996.0,365,0.7432750712780464
1954,8700.0,365,1.4509673115410273
1955,6958.0,365,0.7997701149425287
1956,7569.0,366,1.0878125898246622
1957,9403.0,365,1.2423041352886774
1958,8274.0,365,0.8799319366159736
1959,5606.0,365,0.6775441140923374
1960,9315.0,366,1.6616125579735996
1961,9268.0,365,0.9949543746645196
1962,7777.0,365,0.8391238670694864
1963,8476.0,365,1.08988041661309
1964,7835.0,366,0.9243747050495517
1965,10178.0,365,1.2990427568602425
1966,10751.0,365,1.0562978974258204
1967,8375.0,365,0.7789973025765045
1968,8389.0,366,1.0016716417910447
1969,7378.0,365,0.8794850399332459
1970,8325.0,365,1.128354567633505
1971,6118.0,365,0.7348948948948949
1972,6796.0,366,1.1108205295848317
1973,6996.0,365,1.029429075927016
1974,8577.0,365,1.2259862778730704
1975,6694.0,365,0.7804593680774163
1976,5223.0,366,0.7802509710188228
1977,7723.0,365,1.478652115642351
1978,7363.0,365,0.9533859899002978
1979,8342.0,365,1.1329621078364798
1980,7542.0,366,0.9040997362742748
1981,8999.0,365,1.1931848316096527
1982,7067.0,365,0.7853094788309812
1983,8534.0,365,1.207584547898684
1984,9162.0,366,1.0735880009374268
1985,7735.0,365,0.8442479807902205
1986,8213.0,365,1.0617970265029089
1987,8589.0,365,1.045781078777548
1988,9508.0,366,1.1069973221562464
1989,7310.0,365,0.7688262515776189
1990,7691.0,365,1.0521203830369357
1991,6588.0,365,0.8565856195553244
1992,9104.0,366,1.381906496660595
1993,8822.0,365,0.9690246045694201
1994,9832.0,365,1.114486510995239
1995,7492.0,365,0.7620016273393002
1996,5968.0,366,0.7965830218900161
1997,6779.0,365,1.135891420911528
1998,10914.0,365,1.609971972267296
1999,9253.0,365,0.8478101520982224
2000,9792.0,366,1.0582513779314817
2001,9645.0,365,0.9849877450980392
2002,9169.0,365,0.9506480041472265
2003,5916.0,365,0.6452175809793871
2004,8752.0,366,1.4793779580797837
2005,8923.0,365,1.0195383912248628
2006,7938.0,365,0.8896111173372184
2007,10247.0,365,1.2908793146888384
2008,8227.0,366,0.8028691324290036
2009,7320.0,365,0.8897532514889996
2010,8460.0,365,1.1557377049180328
2011,9035.0,365,1.0679669030732861
2012,9113.0,366,1.00863309352518
2013,9036.0,365,0.9915505322067376
2014,9482.0,365,1.0493581230633025
2015,9893.0,365,1.0433452858046826
2016,8471.0,366,0.8562620034367735
2017,9117.0,365,1.0762601817967181
2018,7448.0,365,0.8169353954151585
2019,9351.0,365,1.2555048335123522
2020,8242.0,366,0.8814030584964175
