DATE,PRCP,NROWS,MULT
2000,5179.0,366,1.0
2001,3328.0,365,0.642595095578297
2002,4378.0,365,1.3155048076923077
2003,3650.0,365,0.8337140246687985
2004,5020.0,366,1.3753424657534246
2005,5742.0,362,1.1438247011952192
2006,5249.0,365,0.9141414141414141
2007,5277.0,334,1.0053343493998856
2008,3695.0,256,0.7002084517718401
2009,4812.0,365,1.302300405953992
2010,6442.0,365,1.3387364921030755
2011,5880.0,365,0.9127600124185036
2012,6128.0,366,1.0421768707482992
2013,5398.0,365,0.8808746736292428
2014,6779.0,365,1.2558354946276398
2015,5250.0,345,0.7744505089246202
2016,6889.0,360,1.3121904761904761
2017,3488.0,360,0.5063144142836405
2018,4910.0,365,1.4076834862385321
2019,4046.0,365,0.8240325865580448
2020,4553.0,366,1.1253089471082551
2021,3931.0,365,0.8633867779486053
2022,5688.0,365,1.4469600610531672
2023,3757.0,365,0.6605133614627285
